#t,Hannover,Heinsberg,Frankfurt,Wiesbaden,Stuttgart,Munich,Berlin,Hannover_d,Heinsberg_d,Frankfurt_d,Wiesbaden_d,Stuttgart_d,Munich_d,Berlin_d
0,3434,2102,2714,873,2094,1743,11414,127,102,72,22,65,96,229
1,3452,2105,2729,879,2112,1755,11499,127,102,72,22,65,96,230
2,3490,2105,2765,887,2138,1770,11576,127,102,72,22,65,96,230
3,3521,2107,2808,892,2164,1780,11695,127,102,72,22,65,96,230
4,3538,2107,2829,894,2190,1796,11742,127,102,72,22,65,96,230
5,3545,2107,2848,907,2201,1812,11745,128,102,72,22,65,96,230
6,3576,2115,2857,910,2223,1821,11877,128,102,72,22,65,96,230
7,3603,2115,2870,916,2250,1838,11933,132,102,72,22,65,96,230
8,3642,2118,2892,930,2280,1850,12047,133,102,72,22,65,96,230
9,3671,2122,2913,936,2309,1859,12188,133,102,72,22,65,96,230
10,3702,2124,2938,944,2337,1870,12277,135,102,74,22,65,96,230
11,3725,2124,2959,956,2355,1879,12319,135,102,74,22,65,96,230
12,3740,2124,2984,956,2362,1888,12325,135,102,74,22,65,96,230
13,3775,2132,2994,959,2382,1898,12420,135,102,74,22,65,96,230
14,3843,2138,3010,969,2416,1916,12537,136,102,74,22,65,96,230
15,3900,2146,3046,976,2451,1939,12712,136,102,74,23,65,96,230
16,3943,2154,3080,988,2507,1965,12888,136,102,74,23,65,96,230
17,3980,2160,3112,993,2534,1978,13080,136,102,74,23,65,96,230
18,4019,2160,3131,998,2544,1985,13138,136,102,74,23,65,96,230
19,4022,2160,3138,998,2551,1997,13166,136,102,74,23,65,96,230
20,4028,2165,3151,1003,2572,2001,13359,136,102,74,23,65,96,231
21,4059,2169,3174,1009,2594,2009,13528,136,102,74,23,65,96,232
22,4099,2172,3203,1020,2636,2028,13713,136,102,75,23,65,96,232
23,4149,2178,3251,1027,2663,2046,13940,136,102,75,23,65,96,232
24,4182,2182,3297,1041,2697,2082,14146,136,102,75,23,66,96,233
25,4222,2182,3339,1044,2730,2088,14229,136,102,75,23,66,96,233
26,4252,2182,3367,1050,2738,2089,14257,136,102,75,23,66,96,233
27,4263,2191,3386,1055,2756,2103,14460,137,102,76,23,66,96,236
28,4291,2195,3410,1061,2769,2118,14678,138,102,76,23,66,96,238
29,4333,2199,3500,1072,2829,2137,14954,138,103,76,24,67,96,239
30,4384,2211,3581,1079,2861,2148,15269,138,103,78,24,68,96,239
31,4426,2213,3633,1095,2918,2158,15611,139,103,78,24,68,96,240
32,4467,2213,3696,1107,2942,2165,15709,139,103,79,24,68,96,240
33,4509,2213,3727,1112,2951,2168,15820,139,103,79,24,68,96,240
34,4516,2222,3754,1117,2965,2174,16136,140,103,79,24,70,96,241
35,4560,2227,3857,1140,3050,2192,16462,140,103,81,24,71,96,242
36,4609,2234,3947,1164,3120,2217,16958,140,103,82,24,72,96,242
37,4667,2240,4038,1184,3173,2237,17417,142,103,85,24,73,96,243
38,4723,2258,4129,1204,3285,2280,17925,142,103,85,24,74,96,244
39,4748,2258,4191,1220,3351,2301,18095,142,103,86,24,75,96,245
