# Zeit (Tage),Gemeldete Fallzahlen
-6.000000,243.000000
-5.000000,60.000000
-4.000000,172.000000
-3.000000,408.000000
-2.000000,508.000000
-1.000000,425.000000
0.000000,413.000000
1.000000,362.000000
2.000000,114.000000
3.000000,261.000000
6.000000,534.000000
7.000000,542.000000
8.000000,500.000000
9.000000,153.000000
10.000000,207.000000
11.000000,696.000000
12.000000,713.000000
13.000000,643.000000
14.000000,552.000000
15.000000,418.000000
16.000000,124.000000
17.000000,343.000000
18.000000,733.000000
19.000000,703.000000
20.000000,516.000000
21.000000,512.000000
22.000000,388.000000
25.000000,618.000000
26.000000,656.000000
27.000000,621.000000
28.000000,511.000000
29.000000,351.000000
30.000000,107.000000
31.000000,337.000000
32.000000,683.000000
33.000000,613.000000
34.000000,480.000000
35.000000,410.000000
36.000000,319.000000
37.000000,106.000000
38.000000,347.000000
39.000000,515.000000
40.000000,528.000000
41.000000,454.000000
42.000000,507.000000
43.000000,346.000000
44.000000,85.000000
45.000000,296.000000
46.000000,651.000000
47.000000,595.000000
48.000000,608.000000
49.000000,541.000000
50.000000,485.000000
51.000000,125.000000
52.000000,376.000000
53.000000,980.000000
56.000000,908.000000
57.000000,780.000000
58.000000,220.000000
59.000000,661.000000
60.000000,1528.000000
61.000000,1452.000000
62.000000,1535.000000
63.000000,1459.000000
64.000000,1311.000000
65.000000,299.000000
66.000000,483.000000
67.000000,1296.000000
68.000000,2930.000000
69.000000,3559.000000
70.000000,3950.000000
71.000000,3019.000000
72.000000,1234.000000
73.000000,3297.000000
74.000000,6286.000000
75.000000,6841.000000
76.000000,6653.000000
77.000000,6649.000000
78.000000,4646.000000
79.000000,2208.000000
80.000000,4352.000000
81.000000,7791.000000
82.000000,8763.000000
83.000000,8780.000000
84.000000,7897.000000
85.000000,6075.000000
86.000000,2931.000000
87.000000,5575.000000
88.000000,9850.000000
89.000000,9450.000000
90.000000,10021.000000
91.000000,9365.000000
92.000000,6337.000000
93.000000,3171.000000
94.000000,5859.000000
95.000000,10573.000000
96.000000,10600.000000
97.000000,9891.000000
98.000000,9708.000000
99.000000,4490.000000
