# Zeit (Tage),Gemeldete Fallzahlen
-2.000000,600.000000
-1.000000,587.000000
0.000000,488.000000
1.000000,528.000000
2.000000,271.000000
3.000000,341.000000
4.000000,732.000000
5.000000,803.000000
6.000000,690.000000
7.000000,612.000000
8.000000,548.000000
9.000000,326.000000
12.000000,777.000000
13.000000,727.000000
14.000000,624.000000
15.000000,587.000000
16.000000,315.000000
17.000000,303.000000
18.000000,786.000000
19.000000,964.000000
20.000000,855.000000
21.000000,619.000000
22.000000,643.000000
23.000000,339.000000
24.000000,425.000000
25.000000,835.000000
26.000000,755.000000
27.000000,674.000000
28.000000,614.000000
29.000000,562.000000
30.000000,331.000000
31.000000,334.000000
32.000000,897.000000
33.000000,847.000000
34.000000,691.000000
35.000000,697.000000
36.000000,541.000000
37.000000,344.000000
38.000000,356.000000
39.000000,873.000000
40.000000,761.000000
41.000000,786.000000
42.000000,629.000000
43.000000,661.000000
44.000000,322.000000
45.000000,356.000000
46.000000,857.000000
47.000000,988.000000
48.000000,942.000000
49.000000,936.000000
50.000000,839.000000
51.000000,455.000000
52.000000,622.000000
53.000000,1773.000000
54.000000,1678.000000
55.000000,1684.000000
56.000000,1709.000000
57.000000,1367.000000
58.000000,856.000000
59.000000,929.000000
60.000000,2609.000000
61.000000,2633.000000
62.000000,2717.000000
63.000000,2485.000000
64.000000,2009.000000
65.000000,1184.000000
66.000000,885.000000
67.000000,1905.000000
68.000000,3895.000000
69.000000,3782.000000
70.000000,3836.000000
71.000000,3096.000000
72.000000,1883.000000
73.000000,2282.000000
74.000000,5715.000000
75.000000,6469.000000
76.000000,6615.000000
77.000000,6545.000000
78.000000,5284.000000
79.000000,5092.000000
80.000000,4341.000000
81.000000,8814.000000
82.000000,10752.000000
83.000000,8506.000000
84.000000,9134.000000
85.000000,5764.000000
86.000000,4845.000000
87.000000,5113.000000
88.000000,10141.000000
89.000000,11121.000000
90.000000,9923.000000
91.000000,8169.000000
92.000000,6756.000000
93.000000,4670.000000
94.000000,4156.000000
95.000000,10079.000000
96.000000,11118.000000
97.000000,9927.000000
98.000000,7953.000000
99.000000,5638.000000
