# Zeit (Tage),Gemeldete Fallzahlen
-2.000000,4553.000000
-1.000000,4374.000000
0.000000,3953.000000
1.000000,3153.000000
2.000000,1318.000000
3.000000,2695.000000
4.000000,5362.000000
5.000000,5734.000000
8.000000,3784.000000
9.000000,1573.000000
10.000000,2623.000000
11.000000,5343.000000
12.000000,5497.000000
13.000000,4805.000000
14.000000,4327.000000
15.000000,3301.000000
16.000000,1241.000000
17.000000,2591.000000
18.000000,4834.000000
19.000000,4490.000000
20.000000,3969.000000
21.000000,3368.000000
22.000000,2689.000000
23.000000,1083.000000
24.000000,2118.000000
25.000000,4052.000000
26.000000,3918.000000
27.000000,3487.000000
28.000000,3242.000000
29.000000,2385.000000
30.000000,992.000000
31.000000,1980.000000
32.000000,4163.000000
33.000000,4058.000000
34.000000,3383.000000
35.000000,2966.000000
36.000000,2161.000000
37.000000,966.000000
38.000000,1937.000000
39.000000,3858.000000
40.000000,3666.000000
41.000000,3445.000000
42.000000,3118.000000
43.000000,2400.000000
44.000000,862.000000
45.000000,2175.000000
46.000000,3816.000000
47.000000,3920.000000
48.000000,3733.000000
49.000000,3656.000000
50.000000,2951.000000
51.000000,1214.000000
52.000000,2713.000000
53.000000,6351.000000
54.000000,6042.000000
55.000000,6001.000000
56.000000,5990.000000
57.000000,4720.000000
58.000000,1897.000000
59.000000,4336.000000
60.000000,9329.000000
61.000000,10241.000000
62.000000,9462.000000
63.000000,9017.000000
64.000000,6967.000000
65.000000,2937.000000
66.000000,4842.000000
67.000000,10939.000000
68.000000,16012.000000
69.000000,16734.000000
70.000000,16438.000000
71.000000,12307.000000
72.000000,5772.000000
73.000000,12579.000000
74.000000,25316.000000
75.000000,28007.000000
76.000000,28398.000000
77.000000,27420.000000
78.000000,20909.000000
79.000000,12255.000000
80.000000,21140.000000
81.000000,39724.000000
82.000000,40351.000000
83.000000,40145.000000
84.000000,42710.000000
85.000000,28912.000000
86.000000,17150.000000
87.000000,32218.000000
88.000000,51827.000000
89.000000,54101.000000
90.000000,52008.000000
91.000000,47717.000000
92.000000,34005.000000
93.000000,20029.000000
94.000000,33365.000000
95.000000,57135.000000
96.000000,59582.000000
97.000000,55084.000000
98.000000,49079.000000
99.000000,24048.000000
