# Zeit (Tage),Gemeldete Fallzahlen
-2.000000,348.000000
-1.000000,444.000000
0.000000,326.000000
1.000000,314.000000
2.000000,123.000000
3.000000,286.000000
4.000000,712.000000
5.000000,818.000000
6.000000,639.000000
7.000000,700.000000
8.000000,491.000000
9.000000,160.000000
10.000000,307.000000
11.000000,749.000000
12.000000,738.000000
13.000000,593.000000
14.000000,548.000000
15.000000,430.000000
16.000000,138.000000
17.000000,263.000000
18.000000,548.000000
19.000000,532.000000
20.000000,460.000000
21.000000,389.000000
22.000000,302.000000
23.000000,70.000000
24.000000,185.000000
25.000000,486.000000
26.000000,396.000000
27.000000,372.000000
28.000000,333.000000
29.000000,236.000000
30.000000,93.000000
31.000000,149.000000
32.000000,390.000000
33.000000,364.000000
34.000000,319.000000
35.000000,221.000000
36.000000,203.000000
37.000000,62.000000
38.000000,165.000000
39.000000,359.000000
40.000000,347.000000
41.000000,309.000000
44.000000,56.000000
45.000000,187.000000
46.000000,185.000000
47.000000,269.000000
48.000000,211.000000
49.000000,215.000000
50.000000,196.000000
51.000000,71.000000
52.000000,157.000000
53.000000,349.000000
54.000000,370.000000
55.000000,360.000000
56.000000,345.000000
57.000000,307.000000
58.000000,105.000000
59.000000,346.000000
60.000000,634.000000
61.000000,799.000000
62.000000,613.000000
63.000000,649.000000
64.000000,474.000000
65.000000,185.000000
66.000000,341.000000
67.000000,789.000000
68.000000,876.000000
69.000000,842.000000
70.000000,973.000000
71.000000,603.000000
72.000000,318.000000
73.000000,497.000000
74.000000,963.000000
75.000000,1185.000000
76.000000,1085.000000
77.000000,1191.000000
78.000000,944.000000
79.000000,491.000000
80.000000,866.000000
81.000000,1541.000000
82.000000,1617.000000
83.000000,1607.000000
84.000000,1717.000000
85.000000,1367.000000
86.000000,712.000000
87.000000,1223.000000
88.000000,2101.000000
89.000000,2121.000000
90.000000,2362.000000
91.000000,2005.000000
92.000000,1431.000000
93.000000,859.000000
94.000000,1243.000000
95.000000,2557.000000
96.000000,2584.000000
97.000000,2286.000000
98.000000,2345.000000
99.000000,1541.000000
