# Zeit (Tage),Gemeldete Fallzahlen
-5.000000,513.000000
-4.000000,918.000000
-3.000000,1694.000000
-2.000000,1842.000000
-1.000000,1854.000000
0.000000,1545.000000
1.000000,1274.000000
2.000000,554.000000
3.000000,974.000000
4.000000,1668.000000
5.000000,1814.000000
6.000000,1651.000000
7.000000,1520.000000
8.000000,1164.000000
9.000000,518.000000
10.000000,779.000000
11.000000,1412.000000
12.000000,1637.000000
13.000000,1390.000000
14.000000,1188.000000
15.000000,918.000000
16.000000,407.000000
17.000000,759.000000
18.000000,1092.000000
19.000000,938.000000
20.000000,932.000000
21.000000,712.000000
22.000000,602.000000
23.000000,280.000000
24.000000,496.000000
25.000000,826.000000
26.000000,861.000000
27.000000,742.000000
28.000000,721.000000
29.000000,532.000000
30.000000,200.000000
31.000000,361.000000
32.000000,694.000000
33.000000,813.000000
34.000000,685.000000
35.000000,563.000000
36.000000,440.000000
40.000000,662.000000
41.000000,621.000000
42.000000,544.000000
43.000000,460.000000
44.000000,119.000000
45.000000,290.000000
46.000000,574.000000
47.000000,555.000000
48.000000,563.000000
49.000000,507.000000
50.000000,480.000000
51.000000,195.000000
52.000000,380.000000
53.000000,846.000000
54.000000,809.000000
55.000000,822.000000
56.000000,779.000000
57.000000,702.000000
58.000000,212.000000
59.000000,648.000000
60.000000,1336.000000
61.000000,1797.000000
62.000000,1467.000000
63.000000,1345.000000
64.000000,1071.000000
65.000000,395.000000
66.000000,438.000000
67.000000,881.000000
68.000000,2084.000000
69.000000,2389.000000
70.000000,1986.000000
71.000000,1729.000000
72.000000,696.000000
73.000000,1138.000000
74.000000,2630.000000
75.000000,2737.000000
76.000000,2617.000000
77.000000,2478.000000
78.000000,2276.000000
79.000000,1149.000000
80.000000,1829.000000
81.000000,4001.000000
82.000000,3989.000000
83.000000,4170.000000
84.000000,4871.000000
85.000000,3500.000000
88.000000,5263.000000
89.000000,6061.000000
90.000000,5745.000000
91.000000,5888.000000
92.000000,4514.000000
93.000000,2561.000000
94.000000,4539.000000
95.000000,7082.000000
96.000000,7208.000000
97.000000,7413.000000
98.000000,6688.000000
99.000000,3861.000000
