# Zeit (Tage),Gemeldete Fallzahlen
39.000000,139.000000
40.000000,124.000000
41.000000,128.000000
42.000000,85.000000
43.000000,85.000000
44.000000,63.000000
45.000000,32.000000
46.000000,84.000000
47.000000,146.000000
48.000000,130.000000
49.000000,71.000000
50.000000,131.000000
51.000000,72.000000
52.000000,48.000000
53.000000,179.000000
54.000000,144.000000
55.000000,146.000000
56.000000,186.000000
56.000000,186.000000
57.000000,112.000000
58.000000,131.000000
58.000000,131.000000
59.000000,80.000000
59.000000,80.000000
60.000000,223.000000
60.000000,223.000000
61.000000,156.000000
61.000000,156.000000
62.000000,279.000000
62.000000,279.000000
63.000000,219.000000
63.000000,219.000000
64.000000,210.000000
64.000000,210.000000
65.000000,72.000000
65.000000,72.000000
66.000000,18.000000
66.000000,18.000000
67.000000,144.000000
67.000000,144.000000
68.000000,202.000000
68.000000,202.000000
69.000000,260.000000
69.000000,260.000000
70.000000,357.000000
70.000000,357.000000
71.000000,279.000000
71.000000,279.000000
72.000000,65.000000
72.000000,65.000000
73.000000,150.000000
73.000000,150.000000
74.000000,290.000000
74.000000,290.000000
75.000000,375.000000
75.000000,375.000000
76.000000,501.000000
76.000000,501.000000
77.000000,570.000000
77.000000,570.000000
78.000000,380.000000
79.000000,203.000000
80.000000,142.000000
81.000000,436.000000
81.000000,436.000000
82.000000,617.000000
82.000000,617.000000
83.000000,554.000000
83.000000,554.000000
84.000000,590.000000
84.000000,590.000000
85.000000,1.000000
85.000000,1.000000
86.000000,728.000000
86.000000,728.000000
87.000000,153.000000
87.000000,153.000000
88.000000,488.000000
88.000000,488.000000
89.000000,593.000000
89.000000,593.000000
90.000000,567.000000
90.000000,567.000000
91.000000,413.000000
91.000000,413.000000
92.000000,340.000000
92.000000,340.000000
93.000000,438.000000
93.000000,438.000000
94.000000,85.000000
94.000000,85.000000
95.000000,548.000000
95.000000,548.000000
96.000000,511.000000
96.000000,511.000000
97.000000,483.000000
97.000000,483.000000
98.000000,400.000000
98.000000,400.000000
99.000000,259.000000
