# Outflow Essigsaeure. Daten Mandy VR15				
#t	Propion [g/L]	Essig [g/L]	Butter [g/L]	Valerian [g/L]
0	0	0	0	0
11.5	0.199388872	0.221535421	0.122570213	0.042694791
24.1	0.703021977	1.118826497	0.544371737	0.269705408
35.5	0.65992006	1.790484941	0.723839694	0.34375928
48	0.665451566	1.658255361	0.466551009	0.316279149
72.1	0.720563173	0.904964361	0.166014479	0.154768816
96	0.374216158	0.245524721	0.023376647	0
119.5	0.153559187	0.225204929	0	0
142.7	0.128394414	0.242302592	0	0
167.8	0.119016091	0.204437809	0	0
191.5	0.082156567	0.11014068	0	0
216	0	0	0	0
239.5	0	0.107314971	0	0
263.4	0.086665289	0.13117556	0	0
287.5	0.079839311	0.116686689	0	0
311.4	0	0.109206171	0	0
335.6	0	0.108733487	0	0
359.9	0	0	0	0
