#t1=10, t2=0.2,t3=5
#t	f(x)
8.360522401153480665e-01 1.041705485789484875e+01
8.707405635874532202e-01 1.043427329850759833e+01
1.341935589811247276e+00 1.066696902009803871e+01
1.847808336357039671e+00 1.091353057547400596e+01
1.866997964210037608e+00 1.092280183794176018e+01
2.276890900969268383e+00 1.111917180971259356e+01
2.339663310760569104e+00 1.114894328675742585e+01
2.731146960833423787e+00 1.133260339532547434e+01
2.994949678547340621e+00 1.145425185450918804e+01
3.250243913522570249e+00 1.157021455660271769e+01
3.549368441143549990e+00 1.170373248924066090e+01
3.753356449549474227e+00 1.179324952289180395e+01
4.931380033690686560e+00 1.228351736747406697e+01
5.267034283331422095e+00 1.241428572342314496e+01
5.351772379043834960e+00 1.244664321479585922e+01
6.169318168438302052e+00 1.274494085042365121e+01
6.869812434364286347e+00 1.298019598599584690e+01
6.910168435165990886e+00 1.299317420704345238e+01
6.935424605208380555e+00 1.300126459588734562e+01
7.085451029173386317e+00 1.304881847156215535e+01
7.689887104944266305e+00 1.323170509368642378e+01
8.234460237431848739e+00 1.338470559218107780e+01
8.308106980125698371e+00 1.340455536128092895e+01
8.924688251325914479e+00 1.356305495501576885e+01
8.941448547064540620e+00 1.356717461871057040e+01
9.426674229202362199e+00 1.368222697008123312e+01
9.496285264479888966e+00 1.369807415580748966e+01
9.812204481061916894e+00 1.376796870696229114e+01
1.058947935348746228e+01 1.392630433475212115e+01
1.125697052670964915e+01 1.404770719943225643e+01
1.174439718343138850e+01 1.412845117998642408e+01
1.186657819881940235e+01 1.414769723746369046e+01
1.215105422108239530e+01 1.419102211140900494e+01
1.219585601008936848e+01 1.419765946670026402e+01
1.252545941922740091e+01 1.424498009934317544e+01
1.298914713075505034e+01 1.430721754503551324e+01
1.486580186867597853e+01 1.451346767197754417e+01
1.508985771083562533e+01 1.453379449338417473e+01
1.524775872066008908e+01 1.454763170086102697e+01
1.529024576760571641e+01 1.455128762138640042e+01
1.635516666161931454e+01 1.463421604230364181e+01
1.666685139671769633e+01 1.465556033089815813e+01
1.682551579604608349e+01 1.466595941600791342e+01
1.744704584994273233e+01 1.470384921250737342e+01
1.760645100208822456e+01 1.471287507180004539e+01
1.819725594051020323e+01 1.474405528214362882e+01
1.834446490703391675e+01 1.475129622735781254e+01
1.845089533647123403e+01 1.475640661753518579e+01
1.854396139713070113e+01 1.476079128135336305e+01
1.891309646008178547e+01 1.477743631156230109e+01
