# Daten L
#time	d1	d2
0	27	32
3	25	26
6	26	33
9	28	35
12	36	53
15	45	79
18	62	112
21	87	155
24	112	199
27	142	242
30	168	286
33	192	332
36	224	374
39	251	406
42	266	435
45	284	460
48	295	474
51	326	506
54	342	525
57	371	555
60	393	586
63	425	598
66	440	646
69	469	665
72	494	704
75	522	734
78	557	774
81	585	810
84	623	858
87	656	894
90	683	929
93	717	974
96	755	1006
99	793	1044
102	830	1103
105	868	1152
108	911	1195
111	942	1251
114	984	1281
117	1035	1345
120	1074	1382
123	1121	1436
126	1156	1483
129	1213	1554
132	1265	1594
135	1310	1663
138	1349	1712
141	1411	1760
144	1444	1836
147	1499	1892
150	1527	1952
153	1596	2013
156	1654	2091
159	1702	2156
162	1749	2225
165	1798	2282
168	1858	2364
171	1889	2415
174	1944	2504
177	2010	2591
180	2051	2643
183	2122	2715
186	2183	2788
189	2222	2854
192	2284	2972
195	2321	3056
198	2382	3101
201	2445	3221
204	2498	3310
207	2548	3374
210	2630	3472
213	2666	3533
216	2733	3623
219	2788	3701
222	2861	3767
225	2914	3866
228	2959	3942
231	3031	4035
234	3079	4110
237	3136	4197
240	3205	4320
243	3271	4365
246	3325	4478
249	3370	4524
252	3454	4593
255	3517	4704
258	3569	4767
261	3630	4873
264	3699	4941
267	3738	5073
270	3812	5128
273	3867	5225
276	3911	5309
279	4024	5382
282	4034	5452
285	4126	5526
288	4198	5643
291	4238	5709
294	4286	5792
297	4351	5870
300	4395	5927
303	4462	6026
306	4505	6105
309	4605	6231
312	4648	6277
315	4704	6303
318	4790	6505
321	4836	6572
324	4890	6626
327	4960	6717
330	5013	6797
333	5063	6897
336	5130	6964
339	5200	7078
342	5264	7171
345	5330	7210
348	5358	7258
351	5429	7427
354	5471	7478
357	5517	7625
360	5578	7701
363	5658	7788
366	5747	7919
369	5750	7922
372	5824	8032
375	5870	8159
378	5958	8267
381	5975	8267
384	6042	8348
387	6134	8511
390	6148	8561
393	6262	8699
396	6310	8785
399	6355	8812
402	6454	8972
405	6477	9027
408	6499	9099
411	6600	9290
414	6611	9413
417	6700	9409
420	6744	9504
423	6819	9668
426	6873	9671
429	6981	9777
432	7038	9910
435	7063	9955
438	7107	10060
441	7184	10096
444	7236	10254
447	7300	10291
450	7328	10430
453	7387	10535
456	7466	10598
459	7530	10726
462	7591	10796
465	7634	10912
468	7661	10957
471	7766	11035
474	7798	11266
477	7871	11224
480	7981	11369
483	8040	11522
486	8079	11534
489	8165	11642
492	8235	11761
495	8268	11826
498	8348	12010
501	8340	12055
504	8427	12105
507	8509	12267
510	8513	12276
513	8654	12417
516	8692	12533
519	8792	12598
522	8798	12806
525	8906	12784
528	8926	12944
531	9018	12933
534	9061	13082
537	9165	13235
540	9169	13322
543	9214	13330
546	9315	13502
549	9363	13564
552	9427	13704
555	9525	13807
558	9469	13860
561	9590	14040
564	9658	14075
567	9721	14262
570	9852	14286
573	9815	14451
576	9961	14436
579	9876	14479
582	10081	14751
585	10071	14807
588	10205	14912
591	10319	14905
594	10200	15033
597	10383	15182
600	10423	15337
603	10459	15319
606	10504	15484
609	10621	15615
612	10667	15623
615	10725	15768
618	10672	15911
621	10956	15957
624	10917	16188
627	11020	16207
630	11031	16243
633	11126	16391
636	11202	16494
639	11237	16523
642	11241	16680
645	11322	16733
648	11422	16788
651	11471	16969
654	11570	17013
657	11667	17226
660	11685	17406
663	11775	17448
666	11877	17557
669	11865	17545
672	11957	17678
675	12011	17740
678	11974	17901
681	12142	18172
684	12240	18114
687	12161	18311
690	12282	18291
693	12357	18410
696	12420	18499
699	12580	18668
702	12594	18860
705	12583	18871
708	12703	19006
711	12760	19092
714	12860	19221
717	12838	19427
720	12984	19361
723	13083	19537
726	13111	19610
729	13189	19524
732	13251	19861
735	13358	19977
738	13280	19991
741	13379	20011
744	13441	20255
747	13528	20309
750	13556	20366
753	13650	20541
756	13702	20577
759	13773	20707
762	13898	20848
765	13838	20918
768	13969	21015
771	14017	21197
774	14081	21036
777	14084	21421
780	14197	21470
783	14256	21421
786	14377	21583
789	14401	21827
792	14492	21986
795	14450	21984
798	14618	21945
801	14571	22211
804	14679	22267
807	14808	22317
810	14811	22544
813	14948	22635
816	14916	22645
819	14965	22764
822	15095	22830
825	15067	22893
828	15113	23108
831	15241	23345
834	15327	23145
837	15380	23404
840	15370	23545
843	15427	23762
846	15520	23706
849	15705	23807
852	15480	23833
855	15747	23996
858	15731	24215
861	15837	24086
864	15751	24361
867	15986	24440
870	15965	24536
873	15998	24711
876	15989	24527
879	16103	24853
882	16196	25020
885	16193	25068
888	16362	25185
891	16356	25201
894	16465	25339
897	16448	25451
900	16480	25653
903	16641	25603
906	16617	25765
909	16751	25802
912	16844	25892
915	16861	25967
918	16884	26034
921	16934	26069
924	17053	26399
927	17001	26297
930	17188	26322
933	17206	26504
936	17206	26687
939	17377	26813
942	17226	26914
945	17284	27022
948	17470	26981
951	17429	27028
954	17536	27310
957	17650	27414
960	17689	27392
