# Konzentrationen (etwa g/L) im Gaerrest mesophiler Versuch
#[h]	Acetic	Propionic	Butyric	Valeric	Capronic	Oenanth	NH4N	pH	TAC
0	0.375767208683794	0	0	0	0	0	3.35317752385596	7.97	16.02
895	0.172108721630804	0	0	0	0	0	0	8.25	16.15
1015	0.10832494835913	0	0	0	0	0	0		
1017.5	0.542916741668434	0.0888008301997411	0	0	0	0	0		
1020	0.493857085465706	0.0855618659279906	0	0	0	0	0		
1022.5	0.495824387999903	0.0764845249948106	0	0	0	0	0		
1039	0.109931282987184	0	0	0	0	0	0		
1207	0.218873123434627	0	0	0	0	0	3.13916883291292	8.03	15.62
1255	0.300305914806375	0.102403597051919	0.121571902582744	0.0860058604009717	0.0217861317908327	0.0289685640925308	3.14774264447266	8.14	15.48
1567	0.925476843420892	0.0231667548356761	0	0	0.0307300770402646	0.189768904910344	0	8.0	14.75
1903	0.423335131366163	0	0	0.0389686046856693	0.0885159104497337	0.2855517728497	3.14190106988552	7.85	14.88
2239	0.483909726914248	0.0556102767805901	0	0.0333201789268097	0	0	0	8.04	14.33
2359	0.458798259653654	0.07	0	0	0.00	0.00	0.00		
2361	0.917299644233671	0.18	0.016548171946366	0.0404992090322328	0.00	0.00	0.00		
2363	1.42744296472172	0.23	0.0319061323618497	0.0424487721971321	0.00	0.00	0.00		
2365	1.06018386252472	0.27	0.0145044021895096	0.0338070176417592	0.00	0.00	0.00		
2389	0.392504449703366	0.04	0	0	0.00	0.00	0.00		
2749	0.641395048668669	0.10	0	0.0535482021344025	0.00	0.00	0.00	8.04	13.44
3037	0.168775373110298	0.01	0	0	0.00	0.00	0.00	7.79	13.29
3205	0.20130069680963	0.02	0	0	0.00	0.00	2.74	7.68	13.04
3421	0.198297180226772	0.00	0	0	0.00	0.00	0.00	7.94	13.03
3589	0.251416312605459	0.10	0	0	0.00	0.00	0.00	7.99	12.19
3877	2.77515272005707	7.07	2.3465970348009	1.23460200585269	0.10	0.00	2.04	6.60	5.34
3949	3.062833955398	7.12	2.28375730259157	1.27630053362508	0.09	0.00	2.32	6.41	5.56
